;;Productos;;;;;;;;;;;;
;a_ijk;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Disponibilidad (b_ik)
;R1;4,8;7,8;5,8;5,6;6,4;4,9;8,7;8,5;5,6;7,7;7;4,1;8210
;R2;9,1;0;10,1;5;3,6;6,9;6;0;6,6;6,1;3,3;3,4;12310
;R3;3,9;3,8;0;8;9,6;8,3;5,6;0;6,3;7,8;0;5,6;12790
;R4;0;0;9,3;8,6;0;5,4;7,7;3,8;0;0;6,9;4,3;7100
;R5;7,9;7,9;7,2;4,9;7,9;0;6,5;0;5;5,6;9,6;2,7;9540
;R6;4,1;4;6,2;9,1;0;0;7,5;4,2;0;4,4;5,6;8,2;11910
;R7;7;8,9;7,6;8,9;0;0;0;0;6,1;10,5;6,7;4,6;13180
;Costo producción (c_jk);51,4;74,9;85,04;80,73;85,66;66,16;87,92;69,69;49,32;68,74;47,14;97,56;
